PA14_00010	0:Replication, recombination and repair
PA14_00020	0:Replication, recombination and repair
PA14_00030	0:Replication, recombination and repair
PA14_00050	0:Replication, recombination and repair
PA14_00060	0:Lipid transport and metabolism
PA14_00070	0:Amino acid transport and metabolism
PA14_00090	0:Translation, ribosomal structure and biogenesis
PA14_00100	0:Translation, ribosomal structure and biogenesis
PA14_00110	0:Replication, recombination and repair
PA14_00120	0:Cell wall/membrane/envelope biogenesis
PA14_00140	0:Function unknown
PA14_00160	0:Cell motility
PA14_00160	0:Intracellular trafficking, secretion, and vesicular transport
PA14_00170	0:Inorganic ion transport and metabolism
PA14_00170	0:Inorganic ion transport and metabolism
PA14_00180	0:Translation, ribosomal structure and biogenesis
PA14_00190	0:Translation, ribosomal structure and biogenesis
PA14_00200	0:Translation, ribosomal structure and biogenesis
PA14_00210	0:Function unknown
PA14_00230	0:Replication, recombination and repair
PA14_00230	0:Intracellular trafficking, secretion, and vesicular transport
PA14_00240	0:Translation, ribosomal structure and biogenesis
PA14_00250	0:Energy production and conversion
PA14_00280	0:Coenzyme transport and metabolism
PA14_00290	0:Amino acid transport and metabolism
PA14_00310	0:Posttranslational modification, protein turnover, chaperones
PA14_00340	0:Inorganic ion transport and metabolism
PA14_00360	0:Amino acid transport and metabolism
PA14_00380	0:Inorganic ion transport and metabolism
PA14_00400	0:Transcription
PA14_00420	0:Signal transduction mechanisms
PA14_00430	0:Signal transduction mechanisms
PA14_00430	0:Transcription
PA14_00440	0:Amino acid transport and metabolism
PA14_00450	0:Amino acid transport and metabolism
PA14_00460	0:Transcription
PA14_00470	0:Function unknown
PA14_00490	0:Intracellular trafficking, secretion, and vesicular transport
PA14_00510	0:Intracellular trafficking, secretion, and vesicular transport
PA14_00550	0:Function unknown
PA14_00570	0:Cell wall/membrane/envelope biogenesis
PA14_00580	0:Function unknown
PA14_00590	0:Function unknown
PA14_00600	0:Transcription
PA14_00640	0:Amino acid transport and metabolism
PA14_00650	0:Function unknown
PA14_00660	0:Translation, ribosomal structure and biogenesis
PA14_00670	0:Function unknown
PA14_00680	0:Transcription
PA14_00690	0:General function prediction only
PA14_00700	0:Posttranslational modification, protein turnover, chaperones
PA14_00710	0:Posttranslational modification, protein turnover, chaperones
PA14_00750	0:General function prediction only
PA14_00770	0:General function prediction only
PA14_00780	0:General function prediction only
PA14_00790	0:Amino acid transport and metabolism
PA14_00800	0:General function prediction only
PA14_00810	0:Replication, recombination and repair
PA14_00830	0:Function unknown
PA14_00850	0:Defense mechanisms
PA14_00860	0:Defense mechanisms
PA14_00875	0:Signal transduction mechanisms
PA14_00875	0:Transcription
PA14_00875	0:Replication, recombination and repair
PA14_00890	0:Signal transduction mechanisms
